1681202085274726400,-0.38533,-0.03398,0.03774,0.99338,-0.02183,0.05826,-0.09660,
1681202085474814976,-0.38446,-0.02573,0.03536,0.99389,-0.03009,0.05775,-0.08913,
1681202085608201984,-0.38240,-0.02584,0.03415,0.99327,-0.02323,0.05636,-0.09851,
1681202085808281856,-0.38209,-0.03001,0.03672,0.99174,-0.00991,0.05419,-0.11579,
1681202085874975488,-0.37946,-0.03246,0.03659,0.99058,-0.00213,0.05314,-0.12616,
1681202086008361472,-0.37735,-0.03634,0.03646,0.98908,0.00647,0.05056,-0.13827,
1681202089076729344,-0.37273,-0.04001,0.03631,0.98866,0.01431,0.03671,-0.14490,
1681202090144052992,-0.37459,-0.04372,0.04055,0.98724,0.02270,0.03443,-0.15378,
1681202090344133120,-0.37116,-0.04493,0.03965,0.98642,0.02689,0.03373,-0.15849,
1681202090610918144,-0.37065,-0.04700,0.03968,0.98484,0.03423,0.03300,-0.16682,
1681202091011101440,-0.36836,-0.05041,0.04204,0.98300,0.04267,0.03226,-0.17565,
1681202091211192832,-0.36432,-0.05532,0.04250,0.98091,0.05186,0.03136,-0.18477,
1681202091411284224,-0.35185,-0.06496,0.04146,0.97806,0.06334,0.02793,-0.19650,
1681202091477983744,-0.35407,-0.06594,0.04159,0.97597,0.07002,0.02705,-0.20456,
1681202091678081792,-0.35498,-0.06305,0.04138,0.97838,0.06110,0.02709,-0.19573,
1681202095613084672,-0.35550,-0.06550,0.04254,0.97628,0.06828,0.02343,-0.20412,
1681202096079938048,-0.36232,-0.05642,0.04367,0.97880,0.05823,0.02604,-0.19463,
1681202096346710016,-0.35017,-0.06568,0.04056,0.97462,0.07177,0.01918,-0.21117,
1681202096413402880,-0.34644,-0.07173,0.04111,0.97115,0.08270,0.01851,-0.22291,
1681202096480100864,-0.34917,-0.07252,0.04206,0.96812,0.09093,0.01861,-0.23268,
1681202096546798592,-0.35551,-0.06828,0.04425,0.97050,0.08476,0.02219,-0.22463,
1681202096613496320,-0.36189,-0.06174,0.04539,0.97494,0.07185,0.02556,-0.20897,
1681202096680194048,-0.36392,-0.05702,0.04526,0.97881,0.05936,0.02709,-0.19408,
1681202096813589504,-0.34774,-0.06654,0.03944,0.97354,0.07448,0.01689,-0.21536,
1681202096880287488,-0.33669,-0.07291,0.03672,0.97647,0.06704,0.01443,-0.20446,
1681202097013682944,-0.33912,-0.08127,0.04047,0.96714,0.09583,0.01474,-0.23503,
1681202097080380672,-0.34798,-0.07884,0.04477,0.96379,0.10445,0.01806,-0.24470,
1681202097147078400,-0.35368,-0.07254,0.04526,0.96786,0.09337,0.01987,-0.23266,
1681202097213776128,-0.35324,-0.06694,0.04329,0.97332,0.07669,0.01950,-0.21539,
1681202097280473600,-0.34867,-0.06594,0.04087,0.97662,0.06592,0.01796,-0.20382,
1681202097413869056,-0.34424,-0.07334,0.04104,0.97219,0.08062,0.01574,-0.21931,
1681202097480561920,-0.34518,-0.07561,0.04230,0.96936,0.08854,0.01487,-0.22863,
1681202097547255040,-0.34559,-0.07427,0.04128,0.97229,0.08053,0.01516,-0.21894,
1681202098280873472,-0.34717,-0.07111,0.04008,0.97635,0.06812,0.01521,-0.20461,
1681202098480956416,-0.35828,-0.06329,0.04490,0.97319,0.07591,0.01963,-0.21624,
1681202098547654656,-0.36352,-0.05813,0.04509,0.97559,0.06801,0.02060,-0.20776,
1681202098614352896,-0.36147,-0.05406,0.04318,0.98068,0.05129,0.02063,-0.18763,
1681202098881146880,-0.35024,-0.06572,0.04044,0.97785,0.06233,0.01623,-0.19917,
1681202098947845376,-0.35870,-0.06480,0.04466,0.97295,0.07875,0.01912,-0.21633,
1681202099081242368,-0.36598,-0.05842,0.04713,0.97492,0.07259,0.02195,-0.20924,
1681202099147940864,-0.35721,-0.05534,0.04392,0.97820,0.06011,0.01883,-0.19786,
1681202099214639360,-0.34578,-0.05646,0.03713,0.98222,0.04438,0.01382,-0.18190,
1681202099281338112,-0.33702,-0.05826,0.03380,0.98710,0.02612,0.01311,-0.15741,
1681202099348036608,-0.33715,-0.06229,0.03559,0.98410,0.04133,0.01291,-0.17227,
1681202099414735104,-0.34354,-0.06683,0.04132,0.97258,0.08041,0.01340,-0.21780,
1681202099481428992,-0.35474,-0.06597,0.04692,0.96530,0.10059,0.01715,-0.24039,
1681202099548123392,-0.36340,-0.05872,0.04910,0.97057,0.08722,0.02130,-0.22344,
1681202099614817280,-0.36637,-0.04899,0.04697,0.98032,0.05652,0.02364,-0.18765,
1681202099681511168,-0.36345,-0.04486,0.04412,0.98576,0.03539,0.02356,-0.16268,
1681202099814898944,-0.34387,-0.05855,0.03856,0.97993,0.05856,0.01380,-0.19003,
1681202099881592832,-0.33864,-0.06747,0.03991,0.97515,0.07603,0.01221,-0.20772,
1681202099948286208,-0.33866,-0.07081,0.04100,0.97151,0.08774,0.01143,-0.21984,
1681202100081673728,-0.33841,-0.06701,0.03837,0.97691,0.07132,0.01231,-0.20100,
1681202100148367104,-0.33851,-0.06307,0.03840,0.97926,0.06320,0.01259,-0.19209,
1681202100481837568,-0.34882,-0.05291,0.04021,0.98182,0.05220,0.01642,-0.18177,
1681202100681926912,-0.37054,-0.03764,0.04710,0.98416,0.04063,0.02442,-0.17082,
