1681202084407663360,-0.13261,0.00156,0.01952,0.99043,-0.11524,0.07488,0.01297,-0.26131,0.02728,0.03297,
1681202084474360576,-0.20212,0.00132,0.02350,0.99070,-0.12281,0.05365,0.02348,-0.28684,0.01335,0.03040,
1681202084541057280,-0.23006,-0.00625,0.03426,0.99056,-0.12454,0.04958,0.02879,-0.27250,-0.03820,0.04415,
1681202084607754496,-0.28253,-0.03117,0.04060,0.99172,-0.11644,0.04844,0.02421,-0.30473,-0.11551,0.04539,
1681202084674451456,-0.30506,-0.04169,0.04242,0.99337,-0.10296,0.05029,0.00975,-0.26474,-0.13595,0.03593,
1681202084741148416,-0.32302,-0.04295,0.04157,0.99455,-0.09013,0.05211,-0.00587,-0.19824,-0.11538,0.01783,
1681202084807845632,-0.33579,-0.04368,0.04009,0.99517,-0.08016,0.05408,-0.01718,-0.12148,-0.08757,0.00221,
1681202084874542592,-0.34721,-0.04311,0.03534,0.99562,-0.07135,0.05273,-0.02938,-0.04307,-0.07203,-0.02615,
1681202084941240064,-0.37239,-0.03504,0.03268,0.99582,-0.06313,0.05117,-0.04166,0.00284,-0.03573,-0.02438,
1681202085007937280,-0.37977,-0.03169,0.03222,0.99574,-0.05930,0.05229,-0.04755,0.01452,-0.00752,-0.01084,
1681202085074634496,-0.38217,-0.03007,0.03429,0.99562,-0.05848,0.05515,-0.04769,0.01353,-0.01727,0.00444,
1681202085141331712,-0.38246,-0.03118,0.03551,0.99530,-0.04812,0.05802,-0.06075,0.01188,-0.03220,0.00904,
1681202085208028928,-0.38382,-0.03379,0.03560,0.99437,-0.03177,0.05783,-0.08291,-0.00019,-0.02032,-0.00266,
1681202085274726400,-0.38702,-0.03351,0.03548,0.99341,-0.02234,0.05732,-0.09668,-0.02089,0.02198,-0.01904,
1681202085341423616,-0.38706,-0.03169,0.03637,0.99337,-0.02339,0.05736,-0.09689,-0.03061,0.05234,-0.02600,
1681202085408121344,-0.38674,-0.03003,0.03695,0.99382,-0.02950,0.05764,-0.09014,-0.01986,0.04874,-0.01723,
1681202085474814976,-0.38569,-0.02852,0.03696,0.99386,-0.03116,0.05786,-0.08905,0.00423,0.02533,-0.00248,
1681202085541508352,-0.38493,-0.02876,0.03730,0.99350,-0.02719,0.05746,-0.09443,0.00993,0.00735,0.00408,
1681202085608201984,-0.38391,-0.02957,0.03824,0.99324,-0.02370,0.05688,-0.09841,0.00573,0.00128,0.00331,
1681202085674895616,-0.38417,-0.03019,0.03805,0.99313,-0.02147,0.05632,-0.10031,0.00581,-0.00881,0.00514,
1681202085741588736,-0.38337,-0.03209,0.03908,0.99264,-0.01643,0.05551,-0.10641,0.01493,-0.02285,0.01171,
1681202085808281856,-0.38257,-0.03409,0.03976,0.99172,-0.00936,0.05471,-0.11585,0.02043,-0.02595,0.01381,
1681202085874975488,-0.38169,-0.03618,0.04017,0.99054,-0.00148,0.05389,-0.12622,0.01720,-0.01840,0.00834,
